sequence_uid,sequence_name,dataset,source_split,xml_path,cell_id,generation,parents_id,childs_id,start_spot_id,end_spot_id,start_frame,end_frame,start_t,end_t,lifetime_frames,n_spots,end_reason,cell_uid,is_observed_division
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,10,0,,,48,816,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell10,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,11,0,,,51,817,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell11,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,12,0,,,55,818,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell12,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,13,0,,,58,819,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell13,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,14,0,,,61,820,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell14,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,15,0,,,65,891,0,35,0.0,35.0,36,36,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell15,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,16,0,,,69,454,0,19,0.0,19.0,20,20,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell16,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,17,0,,,72,823,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell17,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,18,0,,,75,824,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell18,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,19,0,,,80,826,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell19,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,20,0,,,84,825,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell20,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,21,0,,,35,35,1,1,1.0,1.0,1,1,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell21,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,22,0,,,7,814,5,41,5.0,41.0,37,37,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell22,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,23,0,,,611,671,20,23,20.0,23.0,4,4,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell23,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,24,0,,26|27,613,623,20,31,20.0,31.0,12,12,division,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell24,True
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,25,0,,,761,821,24,41,24.0,41.0,18,18,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell25,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,26,1,24,,791,822,32,41,32.0,41.0,10,10,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell26,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,27,1,24,,796,697,32,34,32.0,34.0,3,3,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell27,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,0,0,,,1013,1681,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell0,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,1,0,,,1020,1685,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell1,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,2,0,,,1121,1687,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell2,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,3,0,,,1124,1333,0,21,0.0,21.0,22,22,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell3,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,4,0,,,1125,1690,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell4,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,5,0,,,1126,1693,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell5,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,6,0,,,1127,1694,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell6,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,7,0,,,1128,1691,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell7,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,8,0,,,1129,1692,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell8,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,9,0,,,1130,1696,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell9,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,10,0,,,1131,1697,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell10,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,11,0,,38|39,1132,1718,0,40,0.0,40.0,41,41,division,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell11,True
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,12,0,,,1133,1699,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell12,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,13,0,,,1134,1743,0,39,0.0,39.0,40,40,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell13,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,14,0,,,1135,1700,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell14,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,15,0,,,1136,1701,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell15,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,16,0,,,1137,1623,0,29,0.0,29.0,30,30,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell16,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,17,0,,,1138,1705,0,41,0.0,41.0,42,42,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell17,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,18,0,,,945,945,4,4,4.0,4.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell18,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,19,0,,,1100,1232,13,15,13.0,15.0,3,3,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell19,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,20,0,,,1270,1179,17,18,17.0,18.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell20,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,21,0,,,1668,1668,22,22,22.0,22.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell21,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,22,0,,,1306,1470,23,24,23.0,24.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell22,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,23,0,,,1310,1310,23,23,23.0,23.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell23,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,24,0,,,1498,1364,24,28,24.0,28.0,5,5,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell24,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,25,0,,,1357,1357,28,28,28.0,28.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell25,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,26,0,,,1408,1513,30,35,30.0,35.0,6,6,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell26,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,27,0,,,1414,1688,30,41,30.0,41.0,12,12,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell27,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,28,0,,,1416,1423,30,31,30.0,31.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell28,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,29,0,,,1441,1441,30,30,30.0,30.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell29,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,30,0,,,1447,1629,31,34,31.0,34.0,4,4,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell30,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,31,0,,,1453,1477,32,33,32.0,33.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell31,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,32,0,,,1455,1689,32,41,32.0,41.0,10,10,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell32,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,33,0,,40|41,1651,1724,35,40,35.0,40.0,6,6,division,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell33,True
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,34,0,,,1653,1596,35,36,35.0,36.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell34,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,35,0,,,1638,1679,37,41,37.0,41.0,5,5,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell35,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,36,0,,,1663,1704,37,41,37.0,41.0,5,5,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell36,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,37,0,,,1708,1683,40,41,40.0,41.0,2,2,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell37,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,38,1,11,,1695,1695,41,41,41.0,41.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell38,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,39,1,11,,1698,1698,41,41,41.0,41.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell39,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,40,1,33,,1702,1702,41,41,41.0,41.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell40,False
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,41,1,33,,1703,1703,41,41,41.0,41.0,1,1,death,seq0002_HeLa-S3_nuc_pos15_q3_5c:cell41,False
